smiles,mol_weight,logp,hbd,hba,tpsa,rotatable_bonds,heavy_atoms,drug_like
C1=CC=C(C=C1)N([PH+](F)F)[PH+](F)F.C1=CC=C(C=C1)N([PH+](F)F)[PH+](F)F.C1=CC=C(C=C1)N([PH+](F)F)[PH+](F)F.[Cr],745.2030000000002,12.865699999999988,0,3,9.72,9,40,0
COC1=CC=CC(=C1)C=C2CCCC3=C2N=C4N(C3C5=CC(=CC=C5)OC)C(=CS4)C6=CC=C(C=C6)Br,571.5400000000002,8.446000000000003,0,5,34.06,5,37,0
CCC1=C(C2=CC3=C(C(=C(N3)C=C4C(=C(C(=N4)C=C5C(=C(C(=N5)C=C1N2)CCC(=O)N(CC)CCCCNCCCCNCCCCNCCCCNCC)C)CCC(=O)N(CC)CCCCNCCCCNCCCCNCCCCNCC)C)C)CC)C,1245.9339999999984,12.17343999999999,10,12,194.22000000000003,52,90,0
COC1=CC=C(C=C1)C(=O)CSC2=NC3=C(CCCC3)C(=C2C#N)C4=CC=C(C=C4)OCC5=CC=CC=C5,520.6540000000003,7.061680000000006,0,6,72.21,9,38,0
CC(C)(C)C1=CC=C(C=C1)C2CC2C(=O)NN=CC3=CC(=C(C=C3)OC)COC4=C(C(=CC=C4)Cl)Cl,525.4760000000002,7.132300000000006,1,4,59.92,8,36,0
CC1=C(C2=CC3=NC4=C(C(C(C4=C3C)O)C(=O)OC)C5=NC(=CC6=C(C(=C(N6)C=C1N2)C=C)C)C(=C5CCC(=O)OCCC(C)CCCC(C)CCCC(C)CCCC(C)C)C)C=C,871.2199999999993,13.498839999999975,3,7,130.18999999999997,21,64,0
CC1=CC=C(C=C1)SC2=C(C=C(C=C2)C=C3C(=O)N(C(=O)S3)CC(=O)NC4=CC=C(C=C4)N5CCOCC5)[N+](=O)[O-],590.6830000000001,5.566020000000006,1,9,122.09,8,41,0
C1=CC=C(C=C1)C(=C2C(N(C(=O)C2=O)C3=CC(=CC=C3)Br)C4=CC=C(C=C4)Br)O,513.1850000000001,5.837900000000004,1,3,57.61,3,29,0
CC1=CC=C(C=C1)C2=NC3=C(C(=C2)C4=CC(=C(C=C4)OC)OC)C(=C(S3)C5=NN=C(O5)C6=CC=CC=C6)N,520.6140000000003,7.255120000000006,1,8,96.29,6,38,0
CC1COC2=C3N1C=C(C(=O)C3=CC(=C2N4CCN(CC4)C)F)C(=O)O.CC1C=CC=C(C(=O)NC2=C(C3=C(C4=C(C(=C3O)C)OC(C4=O)(OC=CC(C(C(C(C(C(C1O)C)O)C)OC(=O)C)C)OC)C)C(=O)C2=CNN5CCN(CC5)C)O)C,1184.3260000000002,4.970220000000007,7,21,291.66999999999996,6,85,0
CCNC(=O)NCC1=CC=C(C=C1)C2OC(CC(O2)C3=CC=C(C=C3)CO)CSC4=CC=CC=C4OC,522.6670000000003,5.344300000000006,3,6,89.05000000000001,10,37,0
CC1=C(C=C(N1C2=C(C=C(C=C2)F)F)C3=CC=C(C=C3)OC)C(=O)N4CCN(CC4)S(=O)(=O)C=CC5=CC=CC=C5,577.6530000000004,5.498020000000006,0,5,71.85,7,41,0
CC1CC(CN(C1)S(=O)(=O)C2=CC=CC(=C2)C3=NN(C=C3C=C(C#N)C(=O)NCC4=CC=CC=C4)C5=CC=CC=C5)C,579.7260000000002,5.429280000000006,1,6,108.09,8,42,0
CCCCCCSC1=NC2=C(C3=CC=CC=C3N(C(O2)C4=CC(=C(C(=C4)OC)OC(=O)C)OC)C(=O)C)N=N1,552.6530000000002,5.597600000000007,0,10,112.97,10,39,0
CCOC1=CC=C(C=C1)NC(=O)CC2C(=O)N(C(=S)N2CCC3=C(C=C(C=C3)Cl)Cl)C4=CC(=CC=C4)Cl,576.9330000000001,6.619100000000006,1,4,61.88,9,37,0
CCCCCCCCCCCCCCCCCC(=O)OCC(COP(=O)(O)OCC[N+](C)(C)C)OC(=O)CCC=CCC=CCC=CCC=CCC=CCCCCC,837.1969999999995,13.24459999999998,1,7,108.36000000000001,41,58,0
CCN1CCN(CC1)C2=C(C=CC=C2Cl)NC(=O)C=CC3=CC=C(O3)C4=C(C=C(C=C4)Cl)Cl,504.84500000000025,6.700600000000005,1,4,48.72,6,33,0
CC(=O)NC1=CC=C(C=C1)NC2=NC(=NC(=N2)NN3C(=NC(=CC4=CC=C(C=C4)SC)C3=O)C5=CC=CC=C5)NC6=CC=C(C=C6)NC(=O)C,684.7860000000002,6.654500000000004,5,11,165.63,11,50,0
COC1=C(C=C(C=C1)C2N3C(CS2)C(=O)N(C3=O)C4=CC(=C(C=C4)Cl)Cl)COC5=CC=CC=C5F,533.4080000000002,6.302900000000005,0,5,59.08,6,35,0
CCCCC1=CC=C(C=C1)N2C(=O)C(=C(C2=O)Cl)NC3=CC=CC(=C3)C(=O)NC4=CC=CC=C4Br,552.8560000000001,6.479700000000004,2,4,78.51,8,35,0
COC1=C(C=C2CN(CCC2=C1)CC3CC(OC(O3)C4=CC=C(C=C4)C5=CC=CC=C5CNC(=O)CCCCC(=O)NC6=CC=CC=C6N)C7=CC=C(C=C7)CO)OC,798.9810000000001,7.864300000000009,4,9,144.60999999999999,16,59,0
CC(C(=O)NC1=C(C=C2C3=CC=CC=C3OC2=C1)OC)OC(=O)CC45CC6CC(C4)CC(C6)(C5)Br,540.4540000000004,6.588800000000005,1,5,77.77000000000001,6,35,0
C1CN(CCN1C(C2=CC=CC=C2)C3=CC=CC=C3)C(=O)C4=NN5C(CC(NC5=C4)C6=CC(=C(C=C6)Cl)Cl)C(F)(F)F,614.4990000000004,7.397600000000005,1,5,53.4,5,42,0
CCOC(=O)C1=C(SC=C1C2=CC=C(C=C2)Cl)NC(=O)OCC3C4=CC=CC=C4C5=CC=CC=C35,504.00700000000023,7.606200000000006,1,5,64.63,6,35,0
CC1=CC=C(C=C1)S(=O)(=O)NC2=CC=C(C=C2)C(=O)NN=CC3=CC(=C(C=C3)OC(=O)C4=CC=C(C=C4)Cl)OC,578.0460000000003,5.440920000000005,2,7,123.16000000000001,9,40,0
CCCCCOC1=C(C=C(C=C1)C2C(=C(C3=CC=C(C=C3)OCC)O)C(=O)C(=O)N2C4=NN=C(S4)SCC5=CC=C(C=C5)Cl)OCC,694.275,8.476500000000005,1,10,111.08,15,47,0
C=CCNC(=S)NC1=CC=C(C=C1)C2=NN=C(N2C3=CC=CC=C3)SCC4=C(C=C(C=C4)Cl)Cl,526.5180000000001,7.005800000000004,2,5,54.77,8,34,0
CC1=CC=C(C=C1)S(=O)(=O)NCC(=O)NN=CC2=C(C=C(C=C2)OC(=O)C3=CC=C(C=C3)Cl)OC(=O)C4=CC=C(C=C4)Cl,640.5010000000002,5.168820000000004,2,8,140.23000000000002,10,43,0
CN1C(=O)C2CC=C3C(C2C1=O)CC4C(=O)N(C(=O)C4(C3C=CC5=CC(=C(C(=C5)OC)O)OC)C6=CC=C(C=C6)Cl)NC7=C(C=C(C=N7)C(F)(F)F)Cl,771.5760000000001,6.290500000000007,2,9,138.37,7,53,0
CC12CCC(CC13C=CC4(C2CCC5(C4CCC5(CN(CCCOC)CC(COCC6=CC=CC=C6)O)O)C)C(=C3)C(=O)C7=CC=CO7)O,673.8910000000003,5.969600000000009,3,8,112.60000000000002,14,49,0
CC#N.C1CC[N-]C(C1)C2CCCC([N-]2)C3=CC=CC[N-]3.C1COCCN1[N+]#[Os]Cl,611.2190000000002,5.323280000000006,0,3,82.92,2,30,0
CN1C(=O)C2CC=C3C(C2C1=O)CC4C(=O)N(C(=O)C4(C3C5=C(C(=CC=C5)OC)O)C6=CC=C(C=C6)OC)NC7=C(C=C(C=C7)Cl)Cl,676.5530000000001,5.330900000000006,2,8,125.48000000000002,6,47,0
CC1=CC(=C(C(=C1)C2C(=C(N(C3=C2C(=O)CCC3)C4=C(N=CC=C4)Cl)N)C#N)C)COC5=CC=C(C=C5)Cl,545.4700000000001,6.889020000000006,1,6,92.24,5,38,0
CC1=C(C(=CC=C1)C)OCCCOC2=CC=C(C=C2)C=C3C(=N)N4C(=NC3=O)SC(=N4)C5=CN=CC=C5,511.60700000000014,5.213810000000004,1,7,100.23,8,37,0
CC1=C(SC2=C1C=C(C=C2)Cl)C3=NN(C(=C3)N4C(=O)C5CC6C7C(CC=C6C(C5(C4=O)C)C8=C(C(=CC=C8)F)O)C(=O)N(C7=O)C9=CC=C(C=C9)[N+](=O)[O-])C,780.2340000000004,7.4518200000000085,1,10,155.95000000000002,5,55,0
CCOC(=O)C(=C1N(C(=O)C(S1)C(=C(C=C(C#N)C#N)C2=CC=CC=C2)SC)C3=CC=CC=C3)C#N,512.6160000000001,5.181140000000005,0,8,117.97999999999999,7,36,0
CC1=C(C(=CC=C1)C)NC(=O)C(C2=CC=C(C=C2)[N+](=O)[O-])N(C)C(=O)C3=CC(=NC4=CC=CC=C43)C5=CC=CC=C5,544.6110000000003,6.8788400000000065,1,5,105.43999999999998,7,41,0
CN(C)C1=CC=C(C=C1)C2C(=C(C(=O)N2C3=NN=C(S3)SCC4=CC=C(C=C4)Cl)O)C(=O)C5=CC6=CC=CC=C6O5,603.1250000000002,7.078900000000006,1,9,99.77,8,41,0
CCCCCCCCCCCCOC(=O)CNC(=S)C(=S)NCC(=O)OCCCCCCCCCCCC,572.9220000000001,7.748600000000009,2,6,76.66000000000001,26,38,0
CC1=CC(=CC=C1)N2C(=NN=C2SCC(=O)NC3=NC=C(S3)CC4=CC(=CC(=C4)Cl)Cl)C5=CC=CO5,556.5000000000002,6.920620000000003,1,8,85.84,8,36,0
C1=CC=C2C(=C1)C(=O)N(C(=N2)C3=CC=C(C=C3)Cl)CCCCCCOC4=C(C=CC(=C4)Cl)Cl,501.84100000000035,7.6631000000000045,0,4,44.120000000000005,9,33,0
CC1=CC(=C(C(=C1)C)C2=C(SC3=C2N=C(N=C3NCCNC4CCN(CC4)C5=NC=CC=N5)C)C)C,501.70400000000035,5.360900000000005,2,8,78.86,7,36,0
CN(C1CC(=NOCC2=CC=C(C=C2)[N+](=O)[O-])C3=CC(C(C4C3C1(OC5=C4C=C(C=C5)OC(=O)NCC6=CC=CC=C6)OCC=C)CCCCO)CCCCO)S(=O)(=O)C7=CC=CC8=C7N=CC=C8,960.1189999999997,8.586100000000007,3,13,212.25,21,69,0
CCCN(CC(=O)NC1=CC(=NN1C2=CC=C(C=C2)F)C3=CC=CC=C3)C(=O)COCC4=CC=CC=C4,500.5740000000003,5.072300000000005,1,5,76.46000000000001,11,37,0
C1CCC(CC1)C2=C(C=CC(=C2)Cl)OC3=CC(=CC(=C3)[N+](=O)[O-])NC(=O)C4=C5N=C(C=C(N5N=C4)C(F)(F)F)C6=CC=CS6,642.0590000000003,9.1305,1,8,111.66,7,44,0
COC1=C(C=CC(=C1)C2=CC(=C(C=C2)NC(=O)C(C(C(F)(F)F)(F)F)(F)F)OC)NC(=O)C(C(C(F)(F)F)(F)F)(F)F,636.3360000000004,6.913600000000002,2,4,76.66,9,42,0
